,A_1,A_2,A_3
0,1.6,2.0,3.4
1,2.8,3.0,3.0
2,3.0,2.6,2.8
3,2.4,2.0,2.0
4,1.6,1.8,2.0
5,1.6,2.2,1.4
6,1.4,1.4,1.4
7,2.0,2.2,2.2
8,2.4,2.6,1.6
9,2.8,3.2,3.0
10,3.2,2.8,2.6
11,2.0,2.8,2.2
12,4.2,3.6,4.6
13,2.8,3.0,3.0
14,2.8,2.2,2.4
15,3.0000000000000004,2.6,3.0
16,4.0,4.0,3.8
17,4.2,4.2,4.2
18,3.7999999999999994,3.4,3.6
19,3.4,3.0,3.4
20,2.6,1.8,2.2
21,3.4,3.6,3.4
22,2.6,2.2,1.8
23,3.0,3.0,3.0
24,2.8,2.6,2.4
25,2.6,2.6,2.0
26,3.999999999999999,4.0,3.8
27,4.4,4.4,4.0
28,1.4,1.8,1.2
29,2.0,1.8,2.2
30,3.4,3.0,2.8
31,3.0,3.0,3.0
32,2.6,2.0,2.0
33,3.8,3.8,3.4
34,1.8,1.6,1.6
35,3.6,3.4,4.0
36,1.9999999999999996,2.0,2.2
37,2.8,2.6,2.6
38,2.2,1.8,1.8
39,1.0000000000000002,2.4,1.0
40,1.6,1.8,1.6
41,2.4000000000000004,1.4,1.4
42,2.4,3.2,3.0
43,3.6,3.4,3.4
44,1.8,2.0,2.2
45,4.0,4.0,3.8
46,2.2,2.2,2.0
47,4.0,4.0,4.0
48,1.4000000000000004,1.2,1.2
49,1.4,1.6,1.2
50,2.9999999999999996,3.4,3.4
51,1.6,2.2,2.2
52,3.8,3.8,3.8
53,1.4,1.4,2.2
54,2.2,2.4,2.0
55,1.2000000000000002,2.0,1.2
56,3.6,3.0,2.8
57,2.8000000000000003,2.8,2.0
58,2.0,2.2,1.8
59,1.6,1.6,1.6
60,1.8,1.8,2.0
61,1.4,1.4,1.2
62,4.200000000000001,4.4,3.8
63,3.7999999999999994,3.8,3.2
64,2.0,1.8,1.8
65,3.8,3.8,3.4
66,4.2,4.0,4.4
67,2.4,2.6,1.4
68,2.0,1.6,1.8
69,3.2,3.6,2.2
70,1.9999999999999996,2.2,2.4
71,3.8,3.8,3.4
72,2.0,2.0,2.0
73,2.2,2.2,1.4
74,3.2,2.8,2.4
75,3.6,3.2,2.6
76,2.0,2.2,1.2
77,1.0,1.4,1.0
78,1.8,2.0,1.8
79,2.3999999999999995,1.8,2.0
80,1.1999999999999997,1.6,1.4
81,1.8,1.8,2.0
82,1.2000000000000002,1.6,1.6
83,2.1999999999999997,1.8,1.8
84,3.2,3.0,2.2
85,3.8,3.6,3.8
86,1.6,1.4,1.8
87,2.6,2.8,2.4
88,3.0,3.2,2.8
89,4.2,4.0,4.2
90,1.1999999999999997,1.2,1.2
91,2.0,2.4,1.4
92,2.0,1.6,2.2
93,2.0,2.0,1.6
94,3.2,2.6,3.0
95,3.0,2.4,2.8
96,2.2,2.2,2.2
97,4.000000000000001,3.4,3.6
98,1.9999999999999996,1.6,2.4
99,2.1999999999999997,1.8,1.8
100,3.6,2.4,3.4
101,2.4000000000000004,1.8,1.6
102,2.0,2.2,2.4
103,1.5999999999999999,2.0,1.2
104,0.9999999999999998,1.0,1.0
105,2.8,3.4,2.4
106,3.0,3.0,3.2
107,3.4,4.0,4.0
108,1.8,2.6,2.0
109,3.4,3.8,3.4
110,2.6,3.0,2.2
111,3.2,3.2,2.8
112,3.6,4.0,4.0
113,1.7999999999999994,2.4,1.4
114,3.2,2.8,3.0
115,3.2,2.6,2.4
116,1.9999999999999996,2.0,2.0
117,1.4,2.0,1.2
118,2.9999999999999996,3.0,2.8
119,0.9999999999999998,1.0,1.0
120,1.5999999999999996,1.6,1.4
121,1.2,1.0,1.2
122,1.8,1.8,2.0
123,2.0,2.0,2.0
124,2.2,1.8,1.2
125,3.7999999999999994,3.2,3.4
126,2.3999999999999995,2.4,2.2
127,1.4,1.4,1.0
128,1.2,1.4,1.4
129,1.0,1.2,1.2
130,2.0,2.0,2.0
131,1.6,1.8,1.6
132,3.6,2.6,3.6
133,1.8,2.2,2.6
134,3.0,3.0,2.2
135,3.599999999999999,3.6,3.8
136,2.999999999999999,2.0,3.0
137,1.6,1.4,1.0
138,2.0,2.0,1.8
139,4.4,4.0,3.2
140,1.9999999999999993,1.8,1.8
141,2.3999999999999995,2.4,2.6
142,2.8,2.4,2.6
143,2.6,2.6,2.6
144,1.8,1.4,1.6
145,1.6,1.4,1.8
146,3.4,2.8,3.0
147,1.6,2.4,2.0
148,3.6,2.6,2.4
149,2.4,2.0,2.6
150,2.0,1.8,1.6
151,1.6,1.4,1.2
152,1.9999999999999996,1.6,1.6
153,2.4,2.6,2.6
154,3.0000000000000004,3.6,3.0
155,1.6000000000000003,2.2,2.6
156,1.2,1.0,1.2
157,1.6,2.2,2.0
158,3.0000000000000004,3.2,3.2
159,1.1999999999999997,1.4,1.6
160,3.4,3.2,3.2
161,1.6,2.0,1.2
162,1.4,1.2,1.0
163,2.0,1.6,1.6
164,1.6,1.6,1.6
165,4.4,3.0,3.8
166,2.0,2.0,2.2
167,2.8,2.6,2.8
168,3.4,3.0,2.8
169,5.0,4.8,3.4
170,1.0,1.4,1.0
171,3.1999999999999997,2.8,2.8
172,1.8000000000000003,1.8,1.6
173,2.8,3.0,2.6
174,2.6,3.0,3.0
175,1.8,2.2,1.6
176,1.4,1.6,1.6
177,2.0,1.6,1.8
178,2.2,2.8,2.2
179,2.4,2.8,2.0
180,2.5999999999999996,2.8,2.4
181,4.8,5.0,4.8
182,1.6,1.6,2.0
183,1.6,1.2,1.2
184,3.4,3.6,3.0
185,0.9999999999999997,1.6,1.2
186,1.1999999999999997,1.0,1.0
187,1.4000000000000004,1.6,1.4
188,0.9999999999999997,1.0,1.0
189,2.8,2.6,2.6
190,1.4,1.0,1.2
191,1.4,1.0,1.0
192,2.5999999999999996,3.2,2.8
193,1.8,1.6,1.6
194,2.2,2.8,2.8
195,1.5999999999999999,1.6,1.6
196,1.6,1.6,1.6
197,3.1999999999999997,3.4,3.2
198,1.9999999999999996,2.0,1.8
199,2.5999999999999996,2.4,2.4
200,2.599999999999999,2.6,2.6
201,2.4000000000000004,2.2,2.0
202,3.0000000000000004,2.8,3.4
203,1.5999999999999999,1.4,1.4
204,2.0,2.0,1.4
205,4.4,5.0,4.4
206,2.2,1.6,1.8
207,3.3999999999999995,3.4,3.4
208,2.1999999999999997,2.2,2.2
209,2.3999999999999995,3.0,2.0
210,2.599999999999999,2.2,2.0
211,1.5999999999999996,1.8,1.4
212,2.2,1.6,1.6
213,2.2,2.4,2.2
214,2.8,2.4,3.0
215,2.2,2.4,2.4
216,2.3999999999999995,1.6,1.8
217,2.0,2.6,1.8
218,1.4,1.6,1.0
219,1.8,1.4,1.6
220,1.4000000000000001,1.4,1.2
221,3.6000000000000005,3.6,3.2
222,2.2,2.0,2.6
223,2.1999999999999997,2.0,2.4
224,2.6,2.8,2.6
225,1.2000000000000002,1.2,1.2
226,3.4,3.8,3.2
227,1.9999999999999993,3.2,2.2
228,2.6,2.4,2.4
229,2.4,2.8,2.2
230,1.7999999999999996,1.6,2.4
231,2.0,1.8,2.4
232,0.9999999999999997,1.0,1.0
233,2.2,2.0,1.4
234,2.0,2.0,2.2
235,3.0,2.4,1.8
236,1.4,1.4,1.0
237,1.1999999999999997,1.2,1.4
238,2.3999999999999995,2.2,2.2
239,2.2,2.0,2.2
240,1.9999999999999996,1.8,1.8
241,0.9999999999999998,1.0,1.0
242,2.4000000000000004,2.6,1.6
243,4.4,4.2,4.0
244,2.2,2.4,2.8
245,2.0,2.2,1.4
246,2.0,1.6,2.4
247,2.6,2.6,2.0
248,2.4,2.2,2.4
249,3.2,3.4,3.2
250,3.6,3.8,3.6
251,3.8,4.0,3.8
252,2.6,2.6,1.6
253,2.6,2.4,2.8
254,2.2,2.0,1.4
255,3.6,3.4,2.8
256,2.1999999999999997,2.0,2.0
257,1.4,1.2,1.0
258,1.2,1.2,1.0
259,1.0,1.0,1.0
260,2.4,3.2,2.0
261,1.0,1.0,1.0
262,1.4,1.8,1.0
263,1.4,1.8,1.8
264,3.6000000000000005,3.8,3.0
265,1.6000000000000003,1.8,2.0
266,1.6,1.4,1.2
267,1.4,1.8,2.4
268,2.6,2.4,2.4
269,5.0,5.0,5.0
270,2.6,2.8,3.0
271,2.4,2.6,2.6
272,1.4,1.6,1.4
273,2.6,2.8,2.6
274,1.6,1.4,1.4
275,1.0,1.4,1.0
276,5.0,5.0,5.0
277,2.8000000000000003,3.4,3.0
278,2.2,2.0,2.4
279,1.8,1.8,1.6
280,1.9999999999999996,1.6,1.6
281,3.0,2.6,2.4
282,1.2,1.8,1.2
283,3.0,3.0,3.0
284,2.0,1.8,1.6
285,1.6,1.6,1.6
286,1.8000000000000003,1.2,1.0
287,2.8,2.0,3.2
288,2.4,2.2,2.0
289,2.6000000000000005,2.2,2.4
290,2.1999999999999993,2.8,2.4
291,2.2,2.4,2.4
292,3.4,3.2,3.2
293,4.200000000000001,4.4,4.4
294,1.7999999999999996,1.8,1.8
295,2.0,2.6,2.6
296,2.2,1.4,1.6
297,2.0,1.8,1.8
298,3.6,3.8,3.8
299,2.999999999999999,2.0,3.2
300,2.8,2.0,1.8
301,2.6,3.0,2.6
302,1.6,1.8,1.4
303,3.2,4.0,4.0
304,1.6,2.2,2.4
305,4.8,4.8,4.2
306,2.8000000000000003,3.6,4.0
307,2.8000000000000003,2.4,1.8
308,2.599999999999999,1.8,2.0
309,3.2,3.8,3.6
310,3.2,2.8,3.0
311,4.0,4.0,3.8
312,1.7999999999999996,2.0,2.2
313,4.0,4.0,4.0
314,2.2,2.4,2.2
315,2.6,2.0,2.0
316,2.6,2.6,3.0
317,1.6,1.8,1.8
318,3.8,4.0,3.4
319,2.4,2.6,2.6
320,3.8,3.6,3.8
321,2.0,2.0,1.6
322,3.5999999999999988,3.6,4.0
323,2.6000000000000005,2.4,2.4
324,4.0,4.4,5.0
325,2.2,2.2,2.0
326,1.8,1.2,1.6
327,2.8000000000000003,2.2,2.2
328,2.8,2.0,2.4
329,3.6,3.6,3.6
330,3.2,3.0,3.2
331,2.1999999999999993,1.6,1.4
332,3.1999999999999993,3.4,2.4
333,3.6,2.6,2.6
334,2.4,2.4,1.8
335,3.6,3.6,3.2
336,1.7999999999999996,1.6,1.6
337,2.0,2.0,1.8
338,3.599999999999999,3.6,3.6
339,3.1999999999999993,3.0,3.0
340,3.0000000000000004,2.6,2.8
341,4.0,3.6,3.6
342,2.8,2.2,3.2
343,1.4,1.4,1.8
344,3.8,4.0,4.2
345,4.200000000000001,4.0,4.0
346,1.9999999999999996,2.0,1.0
347,2.4,2.8,2.6
348,2.4,2.2,2.4
349,3.0,3.0,3.0
350,1.8,1.6,2.2
351,2.2,2.4,2.4
352,3.0000000000000004,3.2,3.0
353,2.4,1.6,1.0
354,1.4000000000000004,1.0,1.0
355,3.6,2.8,3.0
356,1.8,2.0,2.0
357,2.4,2.4,2.0
358,1.8000000000000003,2.2,2.6
359,3.2,2.2,2.6
360,1.8,2.0,1.0
361,1.4,1.6,1.6
362,3.8,3.2,3.2
363,4.6,4.0,4.2
364,1.4,1.2,1.2
365,2.8,3.2,3.6
366,1.9999999999999996,2.8,2.2
367,3.4,3.0,3.0
368,1.8,2.4,1.4
369,3.6,3.6,4.0
370,1.8,2.2,1.8
371,1.1999999999999997,1.6,1.6
372,2.3999999999999995,2.4,2.6
373,1.6,2.0,1.6
374,2.8,2.8,2.8
375,3.0,3.6,3.0
376,2.2,2.4,2.0
377,2.2,2.0,2.0
378,3.1999999999999997,2.8,2.4
379,2.4,2.2,2.2
380,4.2,2.8,4.0
381,3.2,3.2,3.4
382,3.1999999999999997,3.8,4.2
383,2.2,2.6,2.6
384,1.5999999999999996,1.6,2.0
385,1.6,2.0,1.2
386,3.2,3.0,3.0
387,1.2,1.4,1.0
388,2.2,2.8,2.2
389,3.6,3.8,3.8
390,2.2,2.6,2.0
391,2.6000000000000005,2.8,3.0
392,1.6,3.6,3.4
393,1.0000000000000002,1.0,1.0
394,3.6,3.4,3.4
395,1.8,1.6,1.2
396,1.9999999999999993,2.2,1.8
397,3.6,3.0,3.2
398,1.9999999999999996,2.4,2.4
399,2.2,1.8,1.4
400,1.6,1.6,1.4
401,2.4,2.4,2.2
402,1.7999999999999996,1.8,1.8
403,3.6,3.6,3.6
404,3.3999999999999995,3.6,3.6
405,3.1999999999999997,3.2,2.4
406,1.6,1.4,1.2
407,3.6,3.4,2.2
408,3.6,3.2,3.2
409,1.8,2.4,1.8
410,3.8000000000000016,3.8,1.8
411,2.8,2.2,2.0
412,1.2,1.2,1.2
413,3.1999999999999997,3.2,2.4
414,3.6,3.8,4.0
415,2.3999999999999995,1.6,1.4
416,0.9999999999999997,1.0,1.0
417,1.7999999999999996,1.4,1.4
418,2.8,1.8,2.6
419,1.8,2.4,2.0
420,4.4,3.8,4.2
421,2.8,2.6,3.0
422,2.4,2.2,2.2
423,2.0,2.0,1.6
424,1.6,1.4,1.4
425,2.0,2.4,1.8
426,3.4,3.6,3.6
427,1.1999999999999997,1.4,1.6
428,3.4,3.4,3.0
429,3.0,3.0,3.4
430,1.8,2.0,1.6
431,2.0,1.8,1.6
432,3.2,3.0,3.0
433,3.0,3.6,2.8
434,2.8,2.8,2.8
435,1.2,1.0,1.0
436,1.0,1.0,1.0
437,2.8,2.2,1.6
438,1.6,1.8,2.2
439,1.4,2.0,2.4
440,2.4,1.8,2.6
441,1.4,1.4,1.8
442,2.0,2.2,2.4
443,3.6,2.8,2.2
444,4.0,3.4,3.4
445,2.8,3.2,3.4
446,3.0000000000000004,2.8,1.8
447,1.8000000000000003,1.6,1.2
448,1.6,2.2,1.8
449,1.2000000000000002,1.2,1.2
450,1.6,1.8,1.8
451,2.4,2.2,2.2
